slug,name,sector,industry,indicative_price_inr,price_date,lot_size,min_ticket_inr,high_52w_inr,low_52w_inr,isin,market_cap_inr_cr,pe,book_value_inr,face_value_inr,status,drhp_filed,hq_city,hq_state,url
roop-telsonic-ultrasonix-limited,Roop Telsonic Ultrasonix Limited,IT & INDUSTRIALS,Industrials,188,2026-09-21,55,10340,188.0,188.0,INE01QU01011,131,52.22,70.48,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/roop-telsonic-ultrasonix-limited
roots-multiclean-limited,Roots Multiclean Limited,IT & INDUSTRIALS,Industrials,4000,2026-09-21,5,20000,4000.0,4000.0,INE01LF01021,624.8,13.11,1654.12,10,unlisted,no,Coimbatore,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/roots-multiclean-limited
royalcare-super-speciality-hospitals,Royalcare Super Speciality Hospitals,CONSUMER,Healthcare,155,2026-09-21,65,10075,160.0,142.0,,2924.21,193.67,16.84,10,unlisted,no,Coimbatore,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/royalcare-super-speciality-hospitals
rrp-electronics-limited,RRP Electronics Limited,IT & INDUSTRIALS,Information Technology,144,2026-09-21,70,10080,22500.0,144.0,INE0UJK01018,19.27,,,10,unlisted,no,,Maharashtra,https://buyunlistedshares.com/unlisted-shares/rrp-electronics-limited
rrp-s4e-innovation,RRP S4E innovation,IT & INDUSTRIALS,Aerospace,148,2026-09-21,70,10360,365.0,144.0,INE09FT01019,102.48,7.94,157.09,10,unlisted,no,Navi Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/rrp-s4e-innovation
rydak-syndicate-limited,Rydak Syndicate Limited,CONSUMER,Food & Beverages,575,2026-09-21,20,11500,575.0,575.0,INE826F01019,,,,,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/rydak-syndicate-limited
s3v-vascular-technologies-limited,S3V Vascular Technologies Limited,CONSUMER,Healthcare,545,2026-09-21,20,10900,565.0,350.0,INE0HGT01012,1045.23,18500,73.42,10,unlisted,no,Mysuru,Karnataka,https://buyunlistedshares.com/unlisted-shares/s3v-vascular-technologies-limited
san-engineering-and-locomotive-company-limited,San Engineering and Locomotive Company Limited,IT & INDUSTRIALS,Industrials,850,2026-09-21,15,12750,850.0,850.0,INE031H01012,378.25,7.42,679.66,10,unlisted,no,Bengaluru,Karnataka,https://buyunlistedshares.com/unlisted-shares/san-engineering-and-locomotive-company-limited
sbi-general-insurance,SBI General Insurance,FINANCIALS,Financials,1150,2026-09-21,10,11500,1150.0,1150.0,INE01MM01017,25689,46.45,231.56,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/sbi-general-insurance
segmental-infrastructure-development-limited,Segmental Infrastructure Development Limited,IT & INDUSTRIALS,Real Estate,168,2026-09-21,60,10080,168.0,107.63,INE11C701011,,,,10,unlisted,yes,Gurugram,Haryana,https://buyunlistedshares.com/unlisted-shares/segmental-infrastructure-development-limited
shivchem-agro-limited,Shivchem Agro Limited,IT & INDUSTRIALS,Chemicals,76,2026-09-21,135,10260,76.0,72.0,INE18CU01023,40,15.35,18.33,5,unlisted,yes,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/shivchem-agro-limited
shriram-life-insurance-co-ltd,Shriram Life Insurance Co. Ltd,FINANCIALS,Financials,525,2026-09-21,20,10500,525.0,525.0,INE227H01016,4746,72.5,50.66,10,unlisted,no,Hyderabad,Telangana,https://buyunlistedshares.com/unlisted-shares/shriram-life-insurance-co-ltd
sicom-india-limited,SICOM India Limited,FINANCIALS,Financials,85,2026-09-21,120,10200,85.0,80.0,INE569E01018,3.04,,74.24,10,unlisted,no,,Maharashtra,https://buyunlistedshares.com/unlisted-shares/sicom-india-limited
sigachi-laboratories-limited,Sigachi Laboratories Limited,CONSUMER,Healthcare,52,2026-09-21,195,10140,52.0,52.0,INE368H01018,35.12,29.55,58.39,10,unlisted,no,Hyderabad,Telangana,https://buyunlistedshares.com/unlisted-shares/sigachi-laboratories-limited
signify-innovations,Signify Innovations,IT & INDUSTRIALS,Industrials,975,2026-09-21,15,14625,1250.0,975.0,INE045U01015,5607.93,22.91,74.69,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/signify-innovations
sk-finance-limited,SK Finance Limited,FINANCIALS,Financials,745,2026-09-21,15,11175,885.0,745.0,INE124N01039,11859,27.52,297.19,1,unlisted,no,Jaipur,Rajasthan,https://buyunlistedshares.com/unlisted-shares/sk-finance-limited
smile-microfinance,SMILE Microfinance,FINANCIALS,Financials,82,2026-09-21,125,10250,82.0,82.0,INE786V01012,142.19,46.59,33.15,10,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/smile-microfinance
solar-91-cleantech-limited,Solar 91 Cleantech Limited,IT & INDUSTRIALS,Energy,468,2026-09-21,25,11700,566.0,468.0,INE0U5I01016,755.48,134.56,18.04,10,unlisted,no,Jaipur,Rajasthan,https://buyunlistedshares.com/unlisted-shares/solar-91-cleantech-limited
soleos-energy-private-limited,Soleos Energy Private Limited,IT & INDUSTRIALS,Energy,,,,,,,INE0VL901028,,,274.22,5,unlisted,no,Ahmedabad,Gujarat,https://buyunlistedshares.com/unlisted-shares/soleos-energy-private-limited
spencer-and-company-limited,Spencer and Company Limited,FINANCIALS,Holding Company,1375,2026-09-21,10,13750,1400.0,1079.0,IN9766E01018,1503.36,,157.12,10,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/spencer-and-company-limited
spray-engineering-devices,Spray Engineering Devices,IT & INDUSTRIALS,Industrials,84,2026-09-21,120,10080,275.0,84.0,INE528I01015,210.81,21.32,81.7,10,unlisted,no,Chandigarh,Chandigarh,https://buyunlistedshares.com/unlisted-shares/spray-engineering-devices
sri-vishnu-shankar-mill-limited,Sri Vishnu Shankar Mill Limited,CONSUMER,Textiles,425,2026-09-21,25,10625,425.0,425.0,INE365Z01016,47.25,,1183.42,10,unlisted,no,Rajapalayam,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/sri-vishnu-shankar-mill-limited
sterlite,Sterlite Electric Limited (formerly Sterlite Power),IT & INDUSTRIALS,Utilities,508,2026-09-21,20,10160,555.0,425.0,INE110V01015,7166.2,35.77,101.82,2,unlisted,yes,Pune,Maharashtra,https://buyunlistedshares.com/unlisted-shares/sterlite
sterlite-grid-5,Sterlite Grid 5,IT & INDUSTRIALS,Utilities,332,2026-09-21,35,11620,378.0,288.0,INE03QT01027,4087,,37.63,2,unlisted,no,Pune,Maharashtra,https://buyunlistedshares.com/unlisted-shares/sterlite-grid-5
sun-drops-energia-private-limited,Sun Drops Energia Private Limited,IT & INDUSTRIALS,Energy,298,2026-09-21,35,10430,360.0,248.0,INE0H1U01025,2948.87,57.54,69.71,5,unlisted,no,Surat,Gujarat,https://buyunlistedshares.com/unlisted-shares/sun-drops-energia-private-limited
sunday,Sunday Proptech Limited,CONSUMER,Hospitality,8.25,2026-09-21,1215,10023.75,28.0,7.95,INE1DBV01024,,,,,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/sunday
t-stanes-and-company,T Stanes & Company,IT & INDUSTRIALS,Materials,824,2026-09-21,15,12360,1000.0,824.0,INE420F01011,195,7.99,952.42,10,unlisted,no,Coimbatore,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/t-stanes-and-company
tea-time,Tea Time,CONSUMER,Consumer Discretionary,36,2026-09-21,280,10080,39.0,36.0,INE0JZW01020,351,177.27,2.92,2,unlisted,no,Hyderabad,Telangana,https://buyunlistedshares.com/unlisted-shares/tea-time
thalappakatti-hotels-private-limited,Thalappakatti Hotels Private Limited,CONSUMER,Consumer Discretionary,120,2026-09-21,85,10200,120.0,120.0,INE01GJ01023,99.34,13.51,11.36,1,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/thalappakatti-hotels-private-limited
the-scottish-assam-limited,The Scottish Assam (India) Limited,CONSUMER,Food & Beverages,775,2026-09-21,15,11625,775.0,775.0,INE010G01018,62,6.2,1235,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/the-scottish-assam-limited
ticker-limited,Ticker Limited,IT & INDUSTRIALS,Information Technology,26.5,2026-09-21,380,10070,34.0,26.5,INE0JS401010,4635.63,,1.01,1,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/ticker-limited
transline-technologies-limited,Transline Technologies Limited,IT & INDUSTRIALS,Information Technology,158,2026-09-21,65,10270,178.0,124.0,INE0OR401022,1108,22.93,19.91,2,unlisted,yes,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/transline-technologies-limited
trl-krosaki-refractories-limited,TRL Krosaki Refractories Limited,IT & INDUSTRIALS,Metals & Mining,1750,2026-09-21,10,17500,2250.0,1750.0,INE012L01014,3658,10.66,580.33,10,unlisted,no,Jharsuguda,Odisha,https://buyunlistedshares.com/unlisted-shares/trl-krosaki-refractories-limited
urban-tots-2,Urban Tots (Deepak Houseware and Toys),CONSUMER,Consumer Discretionary,68,2026-09-21,150,10200,76.0,58.0,INE0MQ801018,378.91,33.66,8.32,1,unlisted,no,Alwar,Rajasthan,https://buyunlistedshares.com/unlisted-shares/urban-tots-2
usha-shriram,Usha Shriram,CONSUMER,Consumer Discretionary,195,2026-09-21,55,10725,195.0,195.0,INE0SGX01011,192.12,,25.43,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/usha-shriram
utkarsh-micro-finance,Utkarsh Micro Finance(Core Invest),FINANCIALS,Financials,195,2026-09-21,55,10725,205.0,125.0,INE396P01012,1230.36,3.73,254.29,10,unlisted,no,Varanasi,Uttar Pradesh,https://buyunlistedshares.com/unlisted-shares/utkarsh-micro-finance
veeda-clinical-research-limited,Veeda Clinical Research Limited,CONSUMER,Healthcare,428,2026-09-21,25,10700,475.0,428.0,INE01HQ01026,2815,,131.38,2,unlisted,yes,Ahmedabad,Gujarat,https://buyunlistedshares.com/unlisted-shares/veeda-clinical-research-limited
veremax-technologie-services-limited,Veremax Technologie Services Limited,IT & INDUSTRIALS,Telecom,375,2026-09-21,30,11250,375.0,360.0,INE1K1L01010,831.14,25.81,34.75,10,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/veremax-technologie-services-limited
